date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:44	45288/45288	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Nov%202017%2019:40:48%20GMT	https://zaidimams.wixsite.com/home	C:/My%20Web%20Sites/Zaidimams/zaidimams.wixsite.com/home.html	(from )
21:40:45	445/445	---M--	200	added ('OK')	text/plain	date:Sun,%2012%20Nov%202017%2019:40:48%20GMT	https://zaidimams.wixsite.com/robots.txt		(from )
21:40:46	15219/15219	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2241d6234ac5270f9d344e50a6b68aa3d4-1%22	https://static.parastorage.com/services/third-party/requirejs/2.1.15/require.min.js	C:/My%20Web%20Sites/Zaidimams/static.parastorage.com/services/third-party/requirejs/2.1.15/require.min.js	(from https://zaidimams.wixsite.com/home)
21:40:46	47374/47374	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22a85c8dab23cdd1737b1afd5505515e32-1%22	https://static.parastorage.com/services/santa/1.2555.20/app/main-r.min.js	C:/My%20Web%20Sites/Zaidimams/static.parastorage.com/services/santa/1.2555.20/app/main-r.min.js	(from https://zaidimams.wixsite.com/home)
21:40:46	72772/72772	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c8515f131f3194c32a3670c8e274fab6%22	https://unpkg.parastorage.com/lodash@4.17.4/lodash.min.js	C:/My%20Web%20Sites/Zaidimams/unpkg.parastorage.com/lodash@4.17.4/lodash.min.js	(from https://zaidimams.wixsite.com/home)
21:40:47	26386/26386	---M-Z	200	added ('OK')	application/javascript	etag:W/%226712-155e6094498%22	https://unpkg.parastorage.com/zepto@1.2.0/dist/zepto.min.js	C:/My%20Web%20Sites/Zaidimams/unpkg.parastorage.com/zepto@1.2.0/dist/zepto.min.js	(from https://zaidimams.wixsite.com/home)
21:40:47	36833/36833	---MCZ	200	added ('OK')	application/javascript	etag:W/%2208ae4114cbda012bf3cb00d865a42a32%22	https://unpkg.parastorage.com/react@15.5.4/dist/react-with-addons.min.js	C:/My%20Web%20Sites/Zaidimams/unpkg.parastorage.com/react@15.5.4/dist/react-with-addons.min.js	(from https://zaidimams.wixsite.com/home)
21:40:47	2907/2907	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Nov%202017%2019:40:51%20GMT	https://zaidimams.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/Zaidimams/zaidimams.wixsite.com/sitemap.xml	(from https://zaidimams.wixsite.com/home)
21:40:48	2907/2907	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Nov%202017%2019:40:51%20GMT	https://zaidimams.wixsite.com/	C:/My%20Web%20Sites/Zaidimams/zaidimams.wixsite.com/index.html	(from https://zaidimams.wixsite.com/home)
21:40:48	2907/2907	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Nov%202017%2019:40:51%20GMT	https://zaidimams.wixsite.com/feed.xml	C:/My%20Web%20Sites/Zaidimams/zaidimams.wixsite.com/feed.xml	(from https://zaidimams.wixsite.com/home)
21:40:48	2907/2907	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Nov%202017%2019:40:52%20GMT	https://zaidimams.wixsite.com/GET	C:/My%20Web%20Sites/Zaidimams/zaidimams.wixsite.com/GET	(from https://static.parastorage.com/services/santa/1.2555.20/app/main-r.min.js)
